Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
8/31/2010,431018.4074,322337.1335,348934.1134,325898.5304,362825.4113,265440.422,352657.4587,187818.0661,308245.4102,406977.238,234610.8321,260254.3055,410608.1252,215811.7553,204879.0879,149737.608,268098.9993,398271.0094,251132.2062,376577.3633,164642.3535
9/30/2010,430957.8114,320492.911,346801.4739,321867.128,361706.5987,264046.6218,350543.2322,186105.2822,307132.8566,405262.6067,232906.6126,258500.0257,408080.6079,214931.9661,203842.163,148908.6447,266617.4715,396395.6842,250117.6459,374896.6547,164341.8481
10/31/2010,429852.7817,318129.9299,345350.3091,318158.4322,360670.8553,262191.539,347574.1135,184193.1006,305709.2627,403072.1295,230926.7169,256418.6064,404940.7231,212925.5415,202930.0055,148318.9878,263979.2923,394694.9446,249203.7687,373131.7796,163543.2149
11/30/2010,427832.7064,315537.1157,345094.1701,315341.4375,359848.1339,260446.3537,343699.1817,182801.0029,303982.897,400851.5839,228894.8739,254042.8106,402131.8021,210715.3839,202519.9963,148141.4197,259219.8318,393028.5974,248201.2214,370586.2483,162711.7775
12/31/2010,425548.7861,312822.0919,344214.9961,313632.3305,359701.3438,259489.3121,340312.3727,181263.752,301880.2279,398752.6517,227074.1328,251802.9284,399566.1843,208029.6979,201748.6501,148209.591,254815.2596,389733.6989,246345.3653,368038.315,161851.45
1/31/2011,424302.5919,310715.7763,341340.5273,312427.2629,359388.1992,258567.9145,336506.327,180387.1468,299193.7569,397235.0698,225659.1527,249091.365,398144.7655,206810.0471,201039.626,148484.4932,252544.3586,388577.9924,244373.1874,366113.8583,161708.8883
2/28/2011,421989.4584,309754.4436,339003.955,311053.4721,358317.0732,257316.6594,334141.1664,179729.9921,295258.234,396424.0279,224525.56,246533.8437,398323.2075,206030.48,200084.0014,148364.6259,249763.776,387476.4505,242297.7996,364341.9015,161429.7316
3/31/2011,420209.6847,308871.4746,336951.9838,309427.0632,356149.9299,255695.7599,331029.7603,179187.9763,291498.2112,395274.3023,223819.27,243899.1212,398283.7165,205632.2091,199079.699,148330.2431,247129.3644,387636.0494,240460.0145,363446.9246,160861.2455
4/30/2011,418185.3341,307032.9855,336291.0811,306318.9603,354794.9227,253727.8772,329036.3311,178156.2303,288664.2333,394433.1983,222626.2423,242023.7626,397506.028,204296.0179,197859.3786,148165.4189,243728.249,383938.898,238300.3259,361952.2196,159788.5799
5/31/2011,417754.4183,304379.2323,333680.2843,302948.7515,353815.3855,251281.4034,326775.3381,176938.2916,287630.5169,393053.7104,221096.72,240346.239,394556.5401,202041.4843,195736.3758,148632.5365,243175.3126,380800.4957,236424.6941,360382.1475,158963.4822
6/30/2011,416234.6913,301459.9585,330130.8436,299823.0761,352783.7958,248859.7229,325312.4791,175786.7293,287245.6484,391153.9882,219400.4292,238606.0308,391622.2744,199542.9276,193236.3411,148243.3218,243250.063,378253.7149,233506.8492,358160.4761,158361.0942
7/31/2011,414329.1047,299125.0021,326676.7999,297168.1393,350415.851,246574.5495,324011.8495,174381.0706,285446.0426,388324.891,217653.7087,236509.1365,389013.8666,197322.868,190925.5087,147752.0704,241341.0636,377859.4331,231149.52,356764.7616,157988.772
8/31/2011,412351.8161,297564.1381,324328.0256,295673.8319,347306.3794,244845.1244,322803.5705,172548.3641,283122.3241,385736.7331,216144.54,234572.0252,387660.1748,195623.7447,189698.9929,146169.6991,238746.2646,376673.0179,228342.6228,356131.2182,157434.3682
9/30/2011,411566.2043,296308.658,322343.3503,294385.9767,344701.4965,243170.8418,320745.9461,170857.9969,280286.1131,384476.6903,214725.5805,233058.1231,386440.9591,194455.049,188896.4357,145203.3163,235848.8518,375305.8181,226067.2918,355077.3344,157022.1275
10/31/2011,410028.872,294206.9402,320365.725,294001.3839,342124.0619,242061.5938,319086.4723,169722.8452,278486.5251,383260.4359,213712.4795,232044.0597,385140.7207,193879.7029,187822.2052,144232.9484,233864.302,373228.7895,222902.6405,352509.1798,156363.4122
11/30/2011,408028.3914,291760.5768,317493.0713,294496.9711,339915.0393,240664.4099,317380.4127,168653.3527,277184.3631,381497.4624,213061.5671,230281.8228,383447.0395,193465.0908,186427.9069,143796.731,230427.0239,373048.304,220002.0097,350672.5506,155854.7435
12/31/2011,405148.0532,289593.857,314869.7419,294625.2812,337787.7155,239145.1836,315220.4726,167462.6903,276324.7507,378671.7152,212211.5763,228441.2242,382424.7865,192721.9832,185284.6374,143275.7256,226258.2913,373885.318,216854.501,349834.5733,155336.5912
